iter	Logloss
0	0.500875885
1	0.3710679626
2	0.2737573242
3	0.2209782562
4	0.1645909729
5	0.1377840271
6	0.1058176117
7	0.08333857727
8	0.06983956909
9	0.06038401031
10	0.05447504044
11	0.05222742844
12	0.0467556076
13	0.04493636703
14	0.04172480011
15	0.0388109436
16	0.03758640289
17	0.03558766937
18	0.0342385788
19	0.03330145645
20	0.03194955826
21	0.0310034008
22	0.02928920364
23	0.02849072647
24	0.02734071732
25	0.02640636063
26	0.02598403168
27	0.02529673004
28	0.02480075455
29	0.02428341293
30	0.02349375343
31	0.02307737732
32	0.02250735855
33	0.02207721138
34	0.02176698685
35	0.0213269558
36	0.02091632652
37	0.02039243507
38	0.0201470356
39	0.01998664474
40	0.01969664764
41	0.01901635742
42	0.01874923706
43	0.01829087067
44	0.01794088745
45	0.01763220024
46	0.01716772652
47	0.01702726364
48	0.01681772995
49	0.01658372116
50	0.01632036209
51	0.01588113213
52	0.01560417366
53	0.01542196274
54	0.01527950859
55	0.0150791769
56	0.01490216064
57	0.01478397846
58	0.01458099747
59	0.01433256817
60	0.01416215897
61	0.0139638195
62	0.01378075409
63	0.01367379761
64	0.01353252316
65	0.01327597046
66	0.01309037018
67	0.01297774506
68	0.01268518639
69	0.01249821472
70	0.01240118027
71	0.01223419857
72	0.01199491882
73	0.01191471481
74	0.01175985718
75	0.01150158119
76	0.01137161636
77	0.01126049995
78	0.01118845081
79	0.0109598856
80	0.01076921177
81	0.01067824936
82	0.01046878719
83	0.01038720798
84	0.01029582024
85	0.01018394279
86	0.009994195938
87	0.009883955002
88	0.009744591713
89	0.00958626461
90	0.009499225616
91	0.009369045258
92	0.009308724403
93	0.009177170753
94	0.009081630707
95	0.009026381493
96	0.008936412811
97	0.008833286285
98	0.008776042938
99	0.00867407608
100	0.008570520401
101	0.008475931168
102	0.00838706398
103	0.008300460815
104	0.008239341736
105	0.008164823532
106	0.008106964111
107	0.008037446022
108	0.00796440506
109	0.007919612885
110	0.007800078392
111	0.007758430004
112	0.007720376968
113	0.007662432671
114	0.007553678513
115	0.007497591496
116	0.00736410284
117	0.007252485275
118	0.007156061172
119	0.007014991283
120	0.006963498116
121	0.006912065983
122	0.006867694855
123	0.006823143005
124	0.006702540874
125	0.006661891937
126	0.006578482151
127	0.006539984703
128	0.006476675034
129	0.006351778984
130	0.006248757839
131	0.006221636295
132	0.006150131226
133	0.006091045856
134	0.006006399155
135	0.005934481621
136	0.00587345314
137	0.005773200035
138	0.005701269627
139	0.005665928841
140	0.005642695904
141	0.005536175251
142	0.005488533974
143	0.005439305782
144	0.005414542675
145	0.00536288023
146	0.005343301773
147	0.005284197807
148	0.005240201473
149	0.005175537586
150	0.005104392052
151	0.005054690361
152	0.005035934448
153	0.004951634407
154	0.004897323608
155	0.004879527092
156	0.004857987881
157	0.004836779594
158	0.004785730362
159	0.004740234852
160	0.00469338131
161	0.004679820538
162	0.004640909195
163	0.00460477972
164	0.004571310997
165	0.004533753872
166	0.004508597374
167	0.004494073868
168	0.004461744308
169	0.004414639473
170	0.004380899429
171	0.004359372139
172	0.004341623783
173	0.004301792622
174	0.004281434059
175	0.004226909161
176	0.004212781906
177	0.004174440861
178	0.004159604073
179	0.004121479988
180	0.004078894138
